<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20210104,113200,3699.6500000,3699.6500000,3696.3800000,3697.8900000,56
20210104,113300,3697.9900000,3701.5700000,3697.8200000,3701.5700000,57
20210104,113400,3701.6200000,3702.4600000,3700.3900000,3700.7100000,59
20210104,113500,3700.8200000,3701.4500000,3696.1300000,3696.6100000,60
20210104,113600,3696.8400000,3698.9900000,3696.8400000,3698.5800000,57
20210104,113700,3698.4800000,3698.7700000,3696.7500000,3698.7700000,58
20210104,113800,3698.7300000,3698.9900000,3698.4800000,3698.6400000,59
20210104,113900,3698.8500000,3699.4400000,3697.8600000,3698.8900000,57
20210104,114000,3698.8600000,3698.8600000,3695.2600000,3695.7300000,52
20210104,114100,3695.6900000,3697.7700000,3695.6900000,3697.7600000,57
20210104,114200,3697.8100000,3697.9400000,3696.6700000,3696.8500000,56
20210104,114300,3696.9700000,3697.4300000,3695.4200000,3695.5700000,59
20210104,114400,3695.4800000,3697.0600000,3695.4800000,3696.6900000,56
20210104,114500,3696.7200000,3696.8600000,3695.0400000,3695.0400000,57
20210104,114600,3694.9900000,3695.8700000,3694.6000000,3695.8300000,57
20210104,114700,3695.8000000,3695.8000000,3694.3900000,3694.8700000,55
20210104,114800,3694.8100000,3695.3300000,3693.7600000,3695.3300000,57
20210104,114900,3695.2900000,3695.7500000,3695.0200000,3695.3800000,55
20210104,115000,3695.3900000,3695.7100000,3694.9600000,3695.7100000,57
20210104,115100,3695.6700000,3696.6500000,3695.5800000,3696.6500000,55
20210104,115200,3696.6900000,3696.7500000,3694.4800000,3694.4800000,56
20210104,115300,3694.3600000,3694.5100000,3693.3600000,3694.0900000,56
20210104,115400,3694.0800000,3694.0800000,3687.4000000,3687.5100000,55
20210104,115500,3687.3700000,3687.3700000,3685.8200000,3686.7800000,55
20210104,115600,3686.7000000,3687.4100000,3684.7900000,3684.8500000,56
20210104,115700,3684.8800000,3684.8800000,3681.7400000,3681.9200000,58
20210104,115800,3681.9900000,3684.3300000,3681.6000000,3684.2400000,56
20210104,115900,3684.2100000,3684.2500000,3683.1000000,3683.5600000,58
20210104,120000,3683.4400000,3685.5600000,3682.1100000,3682.1300000,59
20210104,120100,3682.0400000,3682.9700000,3679.4600000,3680.8700000,52
20210104,120200,3680.9100000,3682.6200000,3680.2800000,3682.5700000,60
20210104,120300,3682.6200000,3684.3600000,3681.7900000,3682.8100000,58
20210104,120400,3682.8300000,3682.8600000,3679.9600000,3680.0500000,56
20210104,120500,3680.3000000,3682.4100000,3680.3000000,3682.4100000,55
20210104,120600,3682.7600000,3683.6300000,3682.6100000,3682.9400000,60
20210104,120700,3683.0200000,3683.0500000,3682.2100000,3682.5800000,55
20210104,120800,3682.4800000,3682.4800000,3680.0700000,3680.0700000,55
20210104,120900,3679.6500000,3679.6500000,3674.1700000,3674.9100000,58
20210104,121000,3674.8800000,3676.3700000,3671.9600000,3671.9600000,60
20210104,121100,3671.8500000,3672.3800000,3666.1800000,3667.2700000,56
20210104,121200,3667.0700000,3669.7000000,3666.6900000,3668.7800000,58
20210104,121300,3668.9500000,3670.0700000,3668.6500000,3668.6500000,56
20210104,121400,3668.5800000,3669.8900000,3667.1700000,3667.1700000,57
20210104,121500,3667.0000000,3667.0000000,3662.7100000,3666.9100000,59
20210104,121600,3667.1700000,3669.3000000,3665.5500000,3669.3000000,59
20210104,121700,3669.9500000,3670.8600000,3669.7300000,3670.3900000,59
20210104,121800,3670.3400000,3674.6400000,3670.2700000,3674.5500000,58
20210104,121900,3674.8200000,3675.0700000,3672.8300000,3673.7000000,58
20210104,122000,3673.7300000,3674.7800000,3671.2300000,3674.0500000,58
20210104,122100,3674.0700000,3676.2000000,3673.7700000,3674.8000000,57
20210104,122200,3675.0500000,3676.6300000,3675.0500000,3676.4200000,59
20210104,122300,3676.6500000,3676.6500000,3675.0000000,3675.1300000,56
20210104,122400,3675.1700000,3678.4700000,3675.1700000,3677.8700000,58
20210104,122500,3677.7600000,3677.7600000,3675.8700000,3676.0900000,57
20210104,122600,3676.0800000,3676.7100000,3675.8700000,3676.5800000,52
20210104,122700,3676.5600000,3678.2300000,3675.4900000,3678.2100000,58
20210104,122800,3678.1500000,3678.2500000,3676.8900000,3677.3500000,57
20210104,122900,3677.3800000,3678.7600000,3677.2200000,3678.6300000,57
20210104,123000,3678.7100000,3678.7100000,3674.8200000,3674.9300000,60
20210104,123100,3674.8700000,3676.1300000,3670.6600000,3670.8200000,56
20210104,123200,3671.0500000,3674.3800000,3671.0200000,3672.5100000,57
20210104,123300,3672.5900000,3674.1200000,3672.5900000,3673.1800000,56
20210104,123400,3673.3100000,3676.7100000,3673.3100000,3676.4000000,57
20210104,123500,3676.3500000,3677.0900000,3675.3500000,3675.6800000,57
20210104,123600,3675.6700000,3675.6700000,3673.4400000,3673.5500000,56
20210104,123700,3673.5200000,3673.5200000,3672.3400000,3672.4100000,55
20210104,123800,3672.4600000,3672.9600000,3672.0000000,3672.4400000,52
20210104,123900,3672.3100000,3672.3100000,3668.9600000,3671.2400000,56
20210104,124000,3671.1600000,3671.2000000,3667.5100000,3667.7900000,59
20210104,124100,3667.7500000,3668.8200000,3667.7400000,3667.9600000,53
20210104,124200,3667.9700000,3668.1100000,3667.2400000,3667.5700000,55
20210104,124300,3667.5300000,3667.5300000,3666.5000000,3667.3800000,55
20210104,124400,3667.4200000,3669.1100000,3667.4200000,3668.0500000,58
20210104,124500,3668.0800000,3668.2100000,3666.0900000,3666.2000000,59
20210104,124600,3666.2700000,3667.4100000,3665.7700000,3666.0700000,54
20210104,124700,3666.0800000,3667.7400000,3666.0800000,3667.6800000,55
20210104,124800,3667.6600000,3667.8000000,3666.9300000,3667.1100000,59
20210104,124900,3667.0600000,3667.1100000,3666.0800000,3666.7300000,52
